id,question_id
1,What sparked the global economic crisis around 2008?
2,Why should we worry about unemployment rates going up?
3,How do economists measure economic growth without price changes messing it up?
4,How bad did the world economy get hit during the 2009 recession?
5,What happened to U.S. unemployment after the 2008 crisis kicked in?
6,How much did China’s economy grow yearly before and during the crisis?
7,"Did the 2008 crisis tank stock markets everywhere, or just in the U.S.?"
8,Does fast economic growth always mean fewer people out of work in the U.S.?
9,Are consumer prices and overall economic prices always in sync in the U.S.?
10,"Why has Europe struggled with jobs even before the crisis, and how bad did it get after?"
11,How did China keep growing strong through the 2008 mess?
12,What role did mortgage-backed securities play in the financial crisis?
13,What happens to consumption when housing prices fall?
14,What is a recession?
15,Which group of countries grew faster before the crisis: advanced economies or emerging economies?
